Title,Authors,Abstract,Classifications,Submitted Date,arXiv identifier,DOI,BibTeX Entry,Abstract Summary by GPT-4 (5-16-23)
Optimization of pencil beam scanning pattern for FLASH proton therapy,"Sylvain Deffet, Edmond Sterpin","Purpose: The FLASH effect, which reduces the radiosensitivity of healthy tissue while maintaining tumor control at high dose rates, has shown potential for improving radiation therapy. Conformal FLASH proton therapy involves advanced beam-shaping technologies and specialized nozzle designs to confine the dose to the target volume. Optimizing the spot delivery pattern and range modulators can enhance the local dose rate, and genetic algorithms have been used to optimize scan patterns for stereotactic FLASH proton therapy of early-stage lung cancer and lung metastases. A fast and effective method based on graph theory is proposed to optimize the dose rate in specific regions of interest.
  Methods: We have created a graph-based algorithm to optimize the trajectory of proton spots to maximize the 100th percentile dose rate. Since this problem is NP-hard, we have employed an approximation algorithm that can solve this kind of Traveling Salesman Problem efficiently.
  Results: When compared to a conventional serpentine pattern, the optimized scanning trajectory led to a doubling of the median dose rate, but only a minor increase in DR95. Our approach is more efficient and requires fewer evaluations of the objective function and hyper-parameters compared to existing genetic algorithms. Conclusions: The optimized scanning trajectory led to a doubling of the median dose rate, but only a minor increase in DR95. The extent to which the dose rate can be increased depends on the size and shape of the region of interest. Future research could explore integrating FLASH objectives into treatment planning and incorporating the proposed method into plan optimization.",Medical Physics,"12 April, 2023",2304.05721,,"@misc{2304.05721,
      title={{Optimization of pencil beam scanning pattern for FLASH proton therapy}},
      author={{Sylvain Deffet and Edmond Sterpin}},
      year={2023},
      eprint={2304.05721},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study focuses on the FLASH effect, which has potential for improving radiation therapy. Researchers developed a graph-based algorithm to optimize the trajectory of proton spots, resulting in a doubled median dose rate. This approach is more efficient than existing genetic algorithms. Future research may involve integrating FLASH objectives into treatment planning and incorporating this method into plan optimization."
Beamlet-free optimization for Monte Carlo based treatment planning in proton therapy,"D. Pross, S. Wuyckens, S. Deffet, E. Sterpin, J. A. Lee, K. Souris","Background: Dose calculation and optimization algorithms in proton therapy treatment planning often have high computational requirements regarding time and memory. This can hinder the implementation of efficient workflows in clinics and prevent the use of new, elaborate treatment techniques aiming to improve clinical outcomes like robust optimization, arc and adaptive proton therapy. Purpose: A new method, namely, the beamlet-free algorithm, is presented to address the aforementioned issue by combining Monte Carlo dose calculation and optimization into a single algorithm and omitting the calculation of the time-consuming and costly dose influence matrix. Methods: The beamlet-free algorithm simulates the dose in proton batches of randomly chosen spots and evaluates their relative impact on the objective function at each iteration. Based on the approximated gradient, the spot weights are then updated and used to generate a new spot probability distribution. The beamlet-free method is compared against a conventional, beamlet-based treatment planning algorithm on a brain case. Results: The beamlet-free algorithm maintained a comparable plan quality while reducing the computation time by 70% and the peak memory usage by 95%. Conclusion: The implementation of a beamlet-free treatment planning algorithm for proton therapy is feasible and capable of achieving a considerable reduction of time and memory requirements.",Medical Physics,"17 April, 2023",2304.08105,,"@misc{2304.08105,
      title={{Beamlet-free optimization for Monte Carlo based treatment planning in proton therapy}},
      author={{D. Pross and S. Wuyckens and S. Deffet and E. Sterpin and J. A. Lee and K. Souris}},
      year={2023},
      eprint={2304.08105},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}",The beamlet-free algorithm is a new method that combines Monte Carlo dose calculation and optimization in proton therapy treatment planning. It aims to reduce computational time and memory requirements by omitting the calculation of the dose influence matrix. The algorithm was compared to a conventional beamlet-based treatment planning method and showed a comparable plan quality while reducing computation time by 70% and peak memory usage by 95%. This suggests that the beamlet-free algorithm is a feasible and efficient option for proton therapy treatment planning.
Simultaneous Reduction of Number of Spots and Energy Layers in Intensity Modulated Proton Therapy for Rapid Spot Scanning Delivery,"Anqi Fu, Vicki T. Taasti, Masoud Zarepisheh","Objective: To improve the delivery efficiency of spot scanning proton therapy by simultaneously reducing the number of spots and energy layers using the reweighted $l_1$ regularization method. Approach: We formulated the proton treatment planning problem as a convex optimization problem with a cost function consisting of a dosimetric plan quality term plus a weighted $l_1$ regularization term. We iteratively solved this problem and adaptively updated the regularization weights to promote the sparsity of both the spots and energy layers. The proposed algorithm was tested on four head-and-neck patients, and its performance, in terms of reducing the number of spots and energy layers, was compared with existing standard $l_1$ and group $l_2$ regularization methods. We also compared the effectiveness of the three methods ($l_1$, group $l_2$, and reweighted $l_1$) at improving plan delivery efficiency without compromising dosimetric plan quality by constructing each of their Pareto surfaces charting the trade-off between plan delivery and plan quality. Main results: The reweighted $l_1$ regularization method reduced the number of spots and layers by an average of 40% and 35%, respectively, with an insignificant cost to dosimetric plan quality. From the Pareto surfaces, it is clear that reweighted $l_1$ provided a better trade-off between plan delivery efficiency and dosimetric plan quality than standard $l_1$ or group $l_2$ regularization, requiring the lowest cost to quality to achieve any given level of delivery efficiency. Significance: Reweighted $l_1$ regularization is a powerful method for simultaneously promoting the sparsity of spots and energy layers at a small cost to dosimetric plan quality. This sparsity reduces the time required for spot scanning and energy layer switching, thereby improving the delivery efficiency of proton plans.","Medical Physics, Optimization and Control","21 April, 2023",2304.11287,,"@misc{2304.11287,
      title={{Simultaneous Reduction of Number of Spots and Energy Layers in Intensity Modulated Proton Therapy for Rapid Spot Scanning Delivery}},
      author={{Anqi Fu and Vicki T. Taasti and Masoud Zarepisheh}},
      year={2023},
      eprint={2304.11287},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study aimed to improve the efficiency of spot scanning proton therapy by reducing the number of spots and energy layers using the reweighted l1 regularization method. The method was tested on four head-and-neck patients and compared with existing standard l1 and group l2 regularization methods. Results showed that the reweighted l1 method reduced the number of spots and layers by 40% and 35% on average, with minimal impact on dosimetric plan quality. This method improves the trade-off between plan delivery efficiency and dosimetric plan quality, reducing the time required for spot scanning and energy layer switching, ultimately enhancing proton plan delivery efficiency."
OpenTPS -- Open-source treatment planning system for research in proton therapy,"S. Wuyckens, D. Dasnoy, G. Janssens, V. Hamaide, M. Huet, E. Loÿen, G. Rotsart de Hertaing, B. Macq, E. Sterpin, J. A. Lee, K. Souris, S. Deffet","Introduction. Treatment planning systems (TPS) are an essential component for simulating and optimizing a radiation therapy treatment before administering it to the patient. It ensures that the tumor is well covered and the dose to the healthy tissues is minimized. However, the TPS provided by commercial companies often come with a large panel of tools, each implemented in the form of a black-box making it difficult for researchers to use them for implementing and testing new ideas. To address this issue, we have developed an open-source TPS. Approach. We have developed an open-source software platform, OpenTPS (opentps.org), to generate treatment plans for external beam radiation therapy, and in particular for proton therapy. It is designed to be a flexible and user-friendly platform (coded with the freely usable Python language) that can be used by medical physicists, radiation oncologists, and other members of the radiation therapy community to create customized treatment plans for educational and research purposes. Result. OpenTPS includes a range of tools and features that can be used to analyze patient anatomy, simulate the delivery of the radiation beam, and optimize the treatment plan to achieve the desired dose distribution. It can be used to create treatment plans for a variety of cancer types and was designed to be extended to other treatment modalities. Significance. A new open-source treatment planning system has been built for research in proton therapy. Its flexibility allows an easy integration of new techniques and customization of treatment plans. It is freely available for use and is regularly updated and supported by a community of users and developers who contribute to the ongoing development and improvement of the software.",Medical Physics,"1 March, 2023",2303.00365,,"@misc{2303.00365,
      title={{OpenTPS -- Open-source treatment planning system for research in proton therapy}},
      author={{S. Wuyckens and D. Dasnoy and G. Janssens and V. Hamaide and M. Huet and E. Loÿen and G. Rotsart de Hertaing and B. Macq and E. Sterpin and J. A. Lee and K. Souris and S. Deffet}},
      year={2023},
      eprint={2303.00365},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The researchers developed an open-source treatment planning system (OpenTPS) for external beam radiation therapy, particularly proton therapy. It aims to provide a flexible and user-friendly platform for medical professionals to create customized treatment plans for educational and research purposes. OpenTPS comes with a variety of tools and features for analyzing patient anatomy, simulating radiation delivery, and optimizing treatment plans. Its open-source nature enables easy integration of new techniques and continuous development by the user community."
Optimization of patient-specific range modulators for conformal FLASH proton therapy,"Sylvain Deffet, Kevin Souris, Edmond Sterpin","Purpose: A promising approach to enable FLASH conformal proton therapy is to passively degrade a single energy layer using a patient-specific range modulator. We propose an innovative method to directly optimize the geometrical characteristics of the range modulator and the treatment plan with respect to user defined constraints, similarly to state-of-the-art IMPT inverse planning.
  Methods: The kind of range modulators proposed in this study is a voxelized object which can be placed in the CT for dose computation, which simplifies the simulation pipeline. Both the geometrical characteristics of the range modulator and the weights of the PBS spots were directly optimized with respect to constraints on the dose using a first-order method. A modified Monte Carlo dose engine was used to provide an estimate of the gradient of the relaxed constraints with respect to the elevation values of the range modulator.
  Results: Assessed on a head and neck case, dose conformity logically appeared to be significantly degraded compared to IMPT. We then demonstrated that this degradation came mainly from the use of a large range shifter and therefore from physical limitations inherent in the passive degradation of beam energy. The geometry of the range modulator, on the other hand, was shown to be very close to being optimal. PBS dose rates were computed and discussed with respect to FLASH objectives.
  Conclusions: The voxelized range modulators optimized with the proposed method were proven to be optimal on a head and neck case characterized by two rather large volumes, with irregular contours and variable depths. The optimized geometry differed from conventional ridge filters as it was arbitrarily set by the optimizer. This kind of range modulators can be directly added in the CT for dose computation and is well suited for 3D printing.",Medical Physics,"15 March, 2023",2303.08649,,"@misc{2303.08649,
      title={{Optimization of patient-specific range modulators for conformal FLASH proton therapy}},
      author={{Sylvain Deffet and Kevin Souris and Edmond Sterpin}},
      year={2023},
      eprint={2303.08649},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study proposes an innovative method to optimize the geometrical characteristics of range modulators for FLASH conformal proton therapy, focusing on head and neck cases with large volumes and irregular contours. The voxelized range modulators can be directly added to CT scans for dose computation and are suitable for 3D printing. The results show that the geometry of range modulators is close to being optimal, but some degradation in dose conformity is due to physical limitations."
Variations of the relative biological effectiveness with fractionation in proton therapy : analysis of prostate cancer response,"Juan Pardo-Montero, Miguel Pombar, Antonio Gómez-Caamaño, Simona Giordanengo, Isabel González-Crespo","Purpose: To present a methodology to analyze the variation of the relative biological effectiveness (RBE) with fractionation from clinical data of tumor control probability (TCP) and to apply it to study the response of prostate cancer to proton therapy.
  Methods: We have analyzed the dependence of the RBE on the dose per fraction by using the LQ model and the Poisson TCP formalism. Experimental TCPs for prostate cancer (low risk, LR, and intermediate risk, IR) treated with photon and proton therapy for conventional fractionation (2 GyE$\times$37 fractions), moderate hypofractionation (3 GyE$\times$20 fractions) and hypofractionation (7.25 GyE$\times$5 fractions) were obtained from the literature and analyzed.
  Results: The dependence of the RBE on the dose per fraction presents three theoretical regions, with RBE monotonically decreasing, increasing or constant with the dose per fraction, depending on the change of ($α$, $β$) values between photon and proton irradiation (the equilibrium point being at ($α_p$/$β_p$)=($α_X$/$β_X$)($α_X$/$α_p$)). An analysis of the clinical data shows RBE values that decline with increasing dose per fraction: for LR RBE=1.124, 1.119, and 1.102 for 1.82 Gy, 2.73 Gy and 6.59 Gy per fraction (proton doses), respectively; for IR RBE=1.119, and 1.102 for 1.82 Gy, and 6.59 Gy per fraction, respectively.
  Conclusions: Our analysis shows a monotonically decreasing RBE with increasing dose per fraction for prostate cancer, which is expected from the LQ formalism and the changes in ($α$, $β$) between photon and proton irradiation. However, due to the limited number of schedules and patients per schedule, the observed decrease of RBE with increasing dose is not significant for LR prostate cancer. For IR prostate cancer, the RBE obtained at 7.25 GyE seems to be significantly lower than that obtained at 2 GyE.",Medical Physics,"16 March, 2023",2303.09485,,"@misc{2303.09485,
      title={{Variations of the relative biological effectiveness with fractionation in proton therapy : analysis of prostate cancer response}},
      author={{Juan Pardo-Montero and Miguel Pombar and Antonio Gómez-Caamaño and Simona Giordanengo and Isabel González-Crespo}},
      year={2023},
      eprint={2303.09485},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study aims to present a methodology for analyzing the variation of relative biological effectiveness (RBE) with fractionation in prostate cancer treatment using proton therapy. The researchers used the LQ model and Poisson TCP formalism to analyze the dependence of RBE on dose per fraction. Results show that RBE decreases with increasing dose per fraction for prostate cancer. However, the decrease is not significant for low-risk prostate cancer due to the limited number of schedules and patients per schedule."
A novel inverse algorithm to solve IPO-IMPT of proton FLASH therapy with sparse filters,"Nathan Harrison, Minglei Kang, Ruirui Liu, Serdar Charyyev, Niklas Wahl, Wei Liu, Jun Zhou, Kristin A. Higgins, Charles Simone, Jeffrey Bradley, William S. Dynan, Liyong Lin","Purpose:The recently proposed IPO-IMPT framework allows simultaneous optimization of dose, dose rate, and LET for FLASH treatment planning. Finding solutions to IPO-IMPT is difficult due to computational intensiveness. Nevertheless, an inverse solution that simultaneously specifies the geometry of a sparse filter and weights of a proton intensity map is desirable for both clinical and preclinical applications. Such solutions can reduce effective biological dose to organs at risk in cancer patients as well as reduce the number of animal irradiations needed to derive extra biological dose models in preclinical studies.
  Methods:Unlike our initial forward heuristic, this inverse IPO-IMPT solution includes simultaneous optimization of sparse range compensation, sparse range modulation, and spot intensity. The daunting computational tasks vital to this endeavor were resolved iteratively with a distributed computing framework to enable Simultaneous Intensity and Energy Modulation and Compensation (SIEMAC). SIEMAC was demonstrated on a human lung cancer patient and a minipig.
  Results:SIEMAC improves maps of spot intensities and patient-field-specific sparse range compensators and range modulators. For the lung cancer patient, at our max nozzle current of 300 nA, dose rate coverage above 100 Gy/s increased from 57% to 96% in the lung and from 93% to 100% in the heart, and LET coverage above 4 keV/um dropped from 68% to 9% in the lung and from 26% to <1% in the heart. For a simple minipig plan, the FWHM of the dose, dose rate, and LET distributions decreased by 30%, 1.6%, and 57%, respectively, again with similar target dose coverage, thus reducing uncertainty in these quantities for preclinical studies.
  Conclusion:The inverse solution to IPO-IMPT demonstrated the capability to simultaneously modulate sub-spot proton energy and intensity distributions for clinical and preclinical studies.",Medical Physics,"19 April, 2023",2302.11546,,"@misc{2302.11546,
      title={{A novel inverse algorithm to solve IPO-IMPT of proton FLASH therapy with sparse filters}},
      author={{Nathan Harrison and Minglei Kang and Ruirui Liu and Serdar Charyyev and Niklas Wahl and Wei Liu and Jun Zhou and Kristin A. Higgins and Charles Simone and Jeffrey Bradley and William S. Dynan and Liyong Lin}},
      year={2023},
      eprint={2302.11546},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The IPO-IMPT framework allows for simultaneous optimization of dose, dose rate, and LET for FLASH treatment planning in cancer patients. Researchers have created an inverse solution called SIEMAC, which optimizes sparse range compensation, modulation, and spot intensity. This approach has demonstrated improvements in spot intensity maps and patient-field-specific sparse range compensators for both clinical and preclinical applications, leading to better dose coverage and a reduction in effective biological doses to organs at risk."
"Comment on ""Biological modeling of gold nanoparticle enhanced radiotherapy for proton therapy "" by Lin et al. [Phys. Med. Biol. 60 (2015) 4149-4168]",Hans Rabus,"In their article published in Phys. Med. Biol. 60 (2015) 4149-4168, Lin et al studied the radiosensitizing effect of gold nanoparticles (GNPs) using radiation transport simulations and a biological model for the survival of irradiated cells. This comment points out several caveats to the methodlogy used by Lin et al. that may not be evident to readers and may contribute to confusion in the literature about the radiation effects of gold nanoparticles. The two main caveats are the high mass fraction of gold considered and a potential problem with the modified local effect model used to predict cell survival.","Medical Physics, Computational Physics","10 February, 2023",2301.01981,,"@misc{2301.01981,
      title={{Comment on ""Biological modeling of gold nanoparticle enhanced radiotherapy for proton therapy "" by Lin et al. [Phys. Med. Biol. 60 (2015) 4149-4168]}},
      author={{Hans Rabus}},
      year={2023},
      eprint={2301.01981},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","Lin et al's study in Phys. Med. Biol. investigated the radiosensitizing effect of gold nanoparticles (GNPs) on irradiated cells using radiation transport simulations and a biological model. However, there are concerns about the methodology, including the unusually high mass fraction of gold and a potential issue with the modified local effect model used for predicting cell survival. These caveats could lead to confusion in the literature regarding the radiation effects of gold nanoparticles."
Sensitivity analysis of biological washout and depth selection for a machine learning based dose verification framework in proton therapy,"Shixiong Yu, Yuxiang Liu, Zongsheng Hu, Haozhao Zhang, Pengyu Qi, Hao Peng","Dose verification based on proton-induced positron emitters is a promising quality assurance tool and may leverage the strength of artificial intelligence. To move a step closer towards practical application, the sensitivity analysis of two factors needs to be performed: biological washout and depth selection. selection. A bi-directional recurrent neural network (RNN) model was developed. The training dataset was generated based upon a CT image-based phantom (abdomen region) and multiple beam energies/pathways, using Monte-Carlo simulation (1 mm spatial resolution, no biological washout). For the modeling of biological washout, a simplified analytical model was applied to change raw activity profiles over a period of 5 minutes, incorporating both physical decay and biological washout. For the study of depth selection (a challenge linked to multi field/angle irradiation), truncations were applied at different window lengths (100, 125, 150 mm) to raw activity profiles. Finally, the performance of a worst-case scenario was examined by combining both factors (depth selection: 125 mm, biological washout: 5 mins). The accuracy was quantitatively evaluated in terms of range uncertainty, mean absolute error (MAE) and mean relative errors (MRE). Our proposed AI framework shows good immunity to the perturbation associated with two factors. The detection of proton-induced positron emitters, combined with machine learning, has great potential to implement online patient-specific verification in proton therapy.","Medical Physics, Machine Learning","21 December, 2022",2212.11352,,"@misc{2212.11352,
      title={{Sensitivity analysis of biological washout and depth selection for a machine learning based dose verification framework in proton therapy}},
      author={{Shixiong Yu and Yuxiang Liu and Zongsheng Hu and Haozhao Zhang and Pengyu Qi and Hao Peng}},
      year={2022},
      eprint={2212.11352},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","The study develops a bi-directional recurrent neural network (RNN) model for dose verification in proton therapy, focusing on sensitivity analysis of biological washout and depth selection. The training dataset used a CT image-based phantom with multiple beam energies and pathways. The model's accuracy was evaluated using range uncertainty, mean absolute error (MAE), and mean relative errors (MRE). The developed AI framework demonstrates good immunity to perturbation associated with biological washout and depth selection, showing potential for online patient-specific verification in proton therapy."
Intensity modulated proton arc therapy via geometry-based energy selection for ependymoma,"Wenhua Cao, Yupeng Li, Xiaodong Zhang, Falk Poenisch, Pablo Yepes, Narayan Sahoo, David Grosshans, Susan McGovern, G. Brandon Gunn, Steven J. Frank, Xiaorong R. Zhu","We developed a novel method of creating intensity modulated proton arc therapy (IMPAT) plans that uses computing resources efficiently and may offer a dosimetric benefit for patients with ependymoma or similar tumor geometries. Our IMPAT planning method consists of a geometry-based energy selection step with major scanning spot contributions as inputs computed using ray-tracing and single-Gaussian approximation of lateral spot profiles. Based on the geometric relation of scanning spots and dose voxels, our energy selection module selects a minimum set of energy layers at each gantry angle such that each target voxel is covered by sufficient scanning spots as specified by the planner, with dose contributions above the specified threshold. Finally, IMPAT plans are generated by robustly optimizing scanning spots of the selected energy layers using a commercial proton treatment planning system. The IMPAT plan quality was assessed for four ependymoma patients. Reference three-field IMPT plans were created with similar planning objective functions and compared with the IMPAT plans. In all plans, the prescribed dose covered 95% of the clinical target volume (CTV) while maintaining similar maximum doses for the brainstem. While IMPAT and IMPT achieved comparable plan robustness, the IMPAT plans achieved better homogeneity and conformity than the IMPT plans. The IMPAT plans also exhibited higher relative biological effectiveness (RBE) enhancement than did the corresponding reference IMPT plans for the CTV in all four patients and brainstem in three of them. The proposed method demonstrated potential as an efficient technique for IMPAT planning and may offer a dosimetric benefit for patients with ependymoma or tumors in close proximity to critical organs. IMPAT plans created using this method had elevated RBE enhancement associated with increased linear energy transfer.",Medical Physics,"23 November, 2022",2211.13413,,"@misc{2211.13413,
      title={{Intensity modulated proton arc therapy via geometry-based energy selection for ependymoma}},
      author={{Wenhua Cao and Yupeng Li and Xiaodong Zhang and Falk Poenisch and Pablo Yepes and Narayan Sahoo and David Grosshans and Susan McGovern and G. Brandon Gunn and Steven J. Frank and Xiaorong R. Zhu}},
      year={2022},
      eprint={2211.13413},
      archivePrefix={arXiv},
      primaryClass={Medical Physics}
}","A new method for creating intensity modulated proton arc therapy (IMPAT) plans has been developed, which efficiently uses computing resources and may benefit patients with ependymoma or similar tumor geometries. The method involves a geometry-based energy selection process followed by robust optimization using a commercial proton treatment planning system. IMPAT plans were found to have better homogeneity and conformity than traditional IMPT plans and showed higher relative biological effectiveness. This method has potential as an efficient technique for IMPAT planning and may offer dosimetric benefits for patients with tumors near critical organs."
