Question,Answer_choice,Correct_or_not
1. Which of the following particles cannot be accelerated by an electric field?,A. Protons,0
1. Which of the following particles cannot be accelerated by an electric field?,B. Electrons,0
1. Which of the following particles cannot be accelerated by an electric field?,C. Neutrons,1
1. Which of the following particles cannot be accelerated by an electric field?,D. Positrons,0
2. The mass of Carbon-12 (12C) is ___ than the sum of the masses of 6 protons and 6 neutrons.,A. slightly smaller,1
2. The mass of Carbon-12 (12C) is ___ than the sum of the masses of 6 protons and 6 neutrons.,B. slightly larger,0
2. The mass of Carbon-12 (12C) is ___ than the sum of the masses of 6 protons and 6 neutrons.,C. equal to,0
2. The mass of Carbon-12 (12C) is ___ than the sum of the masses of 6 protons and 6 neutrons.,D. All of the above are possible.,0
"3. The binding energies for tungsten’s K, L, and M shells are 70, 11, and 2 keV, respectively. A 50 keV photon interacts with tungsten through the photoelectric effect. What are the possible energies of the emitted photoelectron?",A. a continuous spectrum from 2 keV to 70 keV,0
"3. The binding energies for tungsten’s K, L, and M shells are 70, 11, and 2 keV, respectively. A 50 keV photon interacts with tungsten through the photoelectric effect. What are the possible energies of the emitted photoelectron?",B. 39 keV and 48 keV,1
"3. The binding energies for tungsten’s K, L, and M shells are 70, 11, and 2 keV, respectively. A 50 keV photon interacts with tungsten through the photoelectric effect. What are the possible energies of the emitted photoelectron?","C. 9 keV, 59 keV and 68 keV",0
"3. The binding energies for tungsten’s K, L, and M shells are 70, 11, and 2 keV, respectively. A 50 keV photon interacts with tungsten through the photoelectric effect. What are the possible energies of the emitted photoelectron?",D. 9 keV,0
4. Which of the following statements is true regarding the x-ray spectrum of an x-ray tube?,A. The maximum photon energy is determined by the kVp.,1
4. Which of the following statements is true regarding the x-ray spectrum of an x-ray tube?,B. The maximum photon energy is determined by the target material.,0
4. Which of the following statements is true regarding the x-ray spectrum of an x-ray tube?,C. The characteristic photon energies are determined by the tube current.,0
4. Which of the following statements is true regarding the x-ray spectrum of an x-ray tube?,D. The characteristic photon energies are determined by the filtration.,0
5. The half value layer (HVL) for an x-ray beam is 2 mm aluminum. What is the minimum thickness of aluminum required to reduce the x-ray exposure by 50%?,A. 1 mm,0
5. The half value layer (HVL) for an x-ray beam is 2 mm aluminum. What is the minimum thickness of aluminum required to reduce the x-ray exposure by 50%?,B. 2 mm,1
5. The half value layer (HVL) for an x-ray beam is 2 mm aluminum. What is the minimum thickness of aluminum required to reduce the x-ray exposure by 50%?,C. 3 mm,0
5. The half value layer (HVL) for an x-ray beam is 2 mm aluminum. What is the minimum thickness of aluminum required to reduce the x-ray exposure by 50%?,D. 4 mm,0
6. Which of the following component provides the high-power RF fields to accelerate electrons in a LINAC?,A. Thyratron,0
6. Which of the following component provides the high-power RF fields to accelerate electrons in a LINAC?,B. Target,0
6. Which of the following component provides the high-power RF fields to accelerate electrons in a LINAC?,C. Electron gun,0
6. Which of the following component provides the high-power RF fields to accelerate electrons in a LINAC?,D. Magnetron,1
7. What is the purpose of the “tongue and groove” design of multileaf collimator (MLC)?,A. Reduce frictions between leaves.,0
7. What is the purpose of the “tongue and groove” design of multileaf collimator (MLC)?,B. Reduce leakage doses between leaves.,1
7. What is the purpose of the “tongue and groove” design of multileaf collimator (MLC)?,C. Increase speed of leaves.,0
7. What is the purpose of the “tongue and groove” design of multileaf collimator (MLC)?,D. Increase field sizes for treatments.,0
"8. When a LINAC is used to treat patients in electron mode, which of the following hardware is not needed?",A. Target,1
"8. When a LINAC is used to treat patients in electron mode, which of the following hardware is not needed?",B. Electron gun,0
"8. When a LINAC is used to treat patients in electron mode, which of the following hardware is not needed?",C. Monitor chamber,0
"8. When a LINAC is used to treat patients in electron mode, which of the following hardware is not needed?",D. Scattering foil,0
"9. Compared to a flattened beam, the flattening filter free beam ___.",A. Has higher average energy.,0
"9. Compared to a flattened beam, the flattening filter free beam ___.",B. Is more penetrating.,0
"9. Compared to a flattened beam, the flattening filter free beam ___.",C. Has a higher dose rate.,1
"9. Compared to a flattened beam, the flattening filter free beam ___.",D. Increases treatment time.,0
10. The mass attenuation coefficient has the highest dependence on the atomic number of the medium and the energy of the incoming photon energy for ___.,A. Photoelectric effect,1
10. The mass attenuation coefficient has the highest dependence on the atomic number of the medium and the energy of the incoming photon energy for ___.,B. Compton scattering,0
10. The mass attenuation coefficient has the highest dependence on the atomic number of the medium and the energy of the incoming photon energy for ___.,C. Pair production,0
10. The mass attenuation coefficient has the highest dependence on the atomic number of the medium and the energy of the incoming photon energy for ___.,D. Rayleigh scatter,0
11. Which of the following is not an interaction between photons and a medium?,A. Photoelectric effect,0
11. Which of the following is not an interaction between photons and a medium?,B. Compton scattering,0
11. Which of the following is not an interaction between photons and a medium?,C. Pair production,0
11. Which of the following is not an interaction between photons and a medium?,D. Bremsstrahlung,1
"12. When the energy of the scattered photon is the minimum in a Compton interaction, what is the angle of the emitted Compton electron relative to the direction of the initial photon?",A. 0o,1
"12. When the energy of the scattered photon is the minimum in a Compton interaction, what is the angle of the emitted Compton electron relative to the direction of the initial photon?",B. 45o,0
"12. When the energy of the scattered photon is the minimum in a Compton interaction, what is the angle of the emitted Compton electron relative to the direction of the initial photon?",C. 90o,0
"12. When the energy of the scattered photon is the minimum in a Compton interaction, what is the angle of the emitted Compton electron relative to the direction of the initial photon?",D. 180o,0
"13. What is the relationship between the mass attenuation coefficient μ/ρ, mass energy transfer coefficient (μtr/ρ), and the mass energy absorption coefficient (μen/ρ)?",A. μtr/ρ ≥ μen/ρ ≥ μ/ρ,0
"13. What is the relationship between the mass attenuation coefficient μ/ρ, mass energy transfer coefficient (μtr/ρ), and the mass energy absorption coefficient (μen/ρ)?",B. μen/ρ ≥ μtr/ρ ≥ μ/ρ,0
"13. What is the relationship between the mass attenuation coefficient μ/ρ, mass energy transfer coefficient (μtr/ρ), and the mass energy absorption coefficient (μen/ρ)?",C. μ/ρ ≥ μen/ρ ≥ μtr/ρ,0
"13. What is the relationship between the mass attenuation coefficient μ/ρ, mass energy transfer coefficient (μtr/ρ), and the mass energy absorption coefficient (μen/ρ)?",D. μ/ρ ≥ μtr/ρ ≥ μen/ρ,1
14. How does the KERMA compare to the absorbed dose for a 15 MV photon beam at 10 cm depth in a water phantom?,A. The KERMA is greater than the absorbed dose.,0
14. How does the KERMA compare to the absorbed dose for a 15 MV photon beam at 10 cm depth in a water phantom?,B. The KERMA is equal to the absorbed dose.,0
14. How does the KERMA compare to the absorbed dose for a 15 MV photon beam at 10 cm depth in a water phantom?,C. The KERMA is less than the absorbed dose.,1
14. How does the KERMA compare to the absorbed dose for a 15 MV photon beam at 10 cm depth in a water phantom?,D. The relationship between KERMA and the absorbed dose can’t be determined.,0
15. Which of the following beams will not produce a buildup effect in the percent depth dose curve?,A. X-rays from a 100 kVp x-ray tube.,1
15. Which of the following beams will not produce a buildup effect in the percent depth dose curve?,B. Gamma-rays from 60Co.,0
15. Which of the following beams will not produce a buildup effect in the percent depth dose curve?,C. 6 MV x-rays from a LINAC.,0
15. Which of the following beams will not produce a buildup effect in the percent depth dose curve?,D. 18 MV x-rays from a LINAC.,0
16. Which device below is the most suitable for measuring lateral beam profiles?,A. Diodes,1
16. Which device below is the most suitable for measuring lateral beam profiles?,B. Farmer chambers,0
16. Which device below is the most suitable for measuring lateral beam profiles?,C. Plane parallel ionization chambers,0
16. Which device below is the most suitable for measuring lateral beam profiles?,D. Geiger-Muller counter,0
"17. Four exposed films have the same optical density of 1.25. If all four films are placed on top of each other, what is the fraction of light that can transmit through?",A. 20%,0
"17. Four exposed films have the same optical density of 1.25. If all four films are placed on top of each other, what is the fraction of light that can transmit through?",B. 1%,0
"17. Four exposed films have the same optical density of 1.25. If all four films are placed on top of each other, what is the fraction of light that can transmit through?",C. 0.1%,0
"17. Four exposed films have the same optical density of 1.25. If all four films are placed on top of each other, what is the fraction of light that can transmit through?",D. 0.01%,0
"17. Four exposed films have the same optical density of 1.25. If all four films are placed on top of each other, what is the fraction of light that can transmit through?",E. 0.001%,1
18. Which of the following devices is not suitable for in-vivo dose measurements?,A. Diodes,0
18. Which of the following devices is not suitable for in-vivo dose measurements?,B. Thermoluminescent dosimeters (TLDs),0
18. Which of the following devices is not suitable for in-vivo dose measurements?,C. Ionization chambers,1
18. Which of the following devices is not suitable for in-vivo dose measurements?,D. Optically stimulated luminescence dosimeters (OSLDs),0
"19. According to TG-51, which of the following correction factors is not needed when converting the measured charge to the generated charge in the ionization chamber?",A. Temperature and pressure correction,0
"19. According to TG-51, which of the following correction factors is not needed when converting the measured charge to the generated charge in the ionization chamber?",B. Recombination correction,0
"19. According to TG-51, which of the following correction factors is not needed when converting the measured charge to the generated charge in the ionization chamber?",C. Scatter correction,1
"19. According to TG-51, which of the following correction factors is not needed when converting the measured charge to the generated charge in the ionization chamber?",D. Polarity correction,0
"20. For a farmer chamber calibrated at the standard temperature and pressure, which is the PTP factor for a local temperature of 23 oC and pressure of 720 mmHg?",A. 0.97,0
"20. For a farmer chamber calibrated at the standard temperature and pressure, which is the PTP factor for a local temperature of 23 oC and pressure of 720 mmHg?",B. 0.99,0
"20. For a farmer chamber calibrated at the standard temperature and pressure, which is the PTP factor for a local temperature of 23 oC and pressure of 720 mmHg?",C. 1.03,0
"20. For a farmer chamber calibrated at the standard temperature and pressure, which is the PTP factor for a local temperature of 23 oC and pressure of 720 mmHg?",D. 1.06,1
21. How is the beam quality defined in TG-51?,A. Nominal beam energy,0
21. How is the beam quality defined in TG-51?,B. Tenth value layer,0
21. How is the beam quality defined in TG-51?,C. Average beam energy,0
21. How is the beam quality defined in TG-51?,D. %dd(10)x,1
"22. According to TG-51, a LINAC should have dose calibration in water tank ___.",A. Every day,0
"22. According to TG-51, a LINAC should have dose calibration in water tank ___.",B. Every month,0
"22. According to TG-51, a LINAC should have dose calibration in water tank ___.",C. Every year,1
"22. According to TG-51, a LINAC should have dose calibration in water tank ___.",D. Every other year,0
23. Why is TMR always larger than PDD at depths larger than dmax?,A. PDD includes both beam attenuation and beam divergence.,1
