Question,Answer
"Doctor, I have blood in my stools and pain when I use the restroom.",What is the color? How long has this been occurring for?
"Hi Doctor, I have had pain and blood in my stool:",What is the consistency of your stool? Do you have a smoking history? Do you have any history of alcohol use?
I am coming in because of blood in my poop:,Do you have pain with your stools? Have you traveled to another country recently?
My stool has been really dark recently:,What does your diet consist of? Do you use any NSAIDs?
My chest hurts when I lay down and my stools have been red:,Do you have any use of antacids? Do you have any heartburn? Has your diet changed recently?
My iron levels are low and my poop has been bright red:,When was your last colonoscopy? Have you had a colonoscopy in the past?
"Doctor, my stools have been black recently:",Do you have a history of aortic stenosis? Have you had a replacement of your aortic valve?
"Doctor, I have had blood in my stools for the past month.",Are your stools tarry and black? Are your stools bright red?
Doctor I have pain when I poop and blood in my stools,Do you feel a bulging mass from your rectum? Where is your abdominal pain?
Doctor I have had weight loss recently and feel tired.,Have you had any recent fevers? Have you had any recent cough or shortness of breath?
My aunt was diagnosed with colon cancer at 65. Should I be worried?,You should continue to have your routine cancer screening.
At what age should I have my colposcopy? I have no history of family cancers.,Your first colonoscopy begins at 45. There are other tests available too.
What are alternative options to colonoscopy?,We can test your stool for blood intermittently.
They found a hyperplastic polyp on my last colonoscopy. Do I have cancer?,"No, hyperplasia is not equal to cancer. We can continue with routine screening."
I have been diagnosed with low grade colon cancer. What are my treatment options?,Treatment options for you include surgical resection. We can also pursue chemotherapy and radiation therapy.
I have been diagnosed with low grade colon cancer. What are the next steps?,We would want to obtain additional imaging to see if the cancer has spread anywhere.
I have Familial adenomatous polyposis. When do I need my first colonoscopy?,You should have your first annual endoscopy starting at 10 to 12 years of age.
I was diagnosed with ulcerative colitis. When do I need cancer screening?,We will conduct a colonoscopy eight years after your initial diagnosis followed by annual colonoscopies.
I was diagnosed with ulcerative colitis. Am I at an increased risk for cancer?,"Yes, you have almost a six time increased risk of cancer."
"Doctor, I think my stools have been tarry over the past month.",Have you felt tired more often or lost weight recently?
"Doctor, I have red streaks in my poop:",Do you have any family history of cancer? Have you lost weight recently?
"Doctor, I have been losing weight and coughing.",Do you have a smoking history?
I have been smoking 2 packs of cigarettes for 30 years.,We can use a Chest CT to look for any nodules.
I have been losing weight for the past 3 months.,Have you had any fever or chills recently?
I have been spitting up a lot of mucus.,Do you have any bloody sputum or secretions?
How will I know if these lung nodules are worrisome?,We will monitor these nodules with chest x-rays.
What are some treatment options for my lung cancer?,"We can treat your cancer with surgery, chemotherapy, or radiation therapy. However, the treatment options depend on your symptoms and the nature of your condition."
My cough has worsened over the past couple of months.,Have you also lost weight in this time period?
I feel short of breath and chest pain when I am walking. I haven’t seen a physician in 20 years.,Do you have a smoking history?
Will my lung cancer spread to other parts of my body?,"It depends on the type of cancer but lung cancer generally spreads to the brain, bones, and adrenal glands."
What are other risk factors for developing lung cancer?,"Asbestos, radon, and family history of lung cancer are some risk factors."
What is the greatest risk factor for developing lung cancer?,Smoking history is actually the highest risk factor.
What are symptoms that can develop outside my lungs?,Your nails can get swollen due to decreased oxygenation in your fingertips. This is called clubbing.
What are screening options for lung cancer?,Patients between the ages of 50 and 80 with a 20 pack smoking history and who are currently smoking or have quit within the last 15 years are screened.
What is the screening modality for lung cancer?,We use a low-dose computerized tomography (CT) scan of the chest to screen for lung cancer.
What are the different kinds of lung cancer?,"The different kinds of lung cancer include: small cell, adenocarcinoma, squamous cell, large cell, and bronchial carcinoid tumor. These are diagnosed with a biopsy."
How would you treat small cell lung cancer?,"Most of the time, small cell lung cancer is non-resectable and requires chemotherapy."
I have a pulmonary nodule found on an x-ray. Does this mean I have cancer?,Nodules can be benign or malignant.
How do you know if the nodule is benign or malignant?,We think a nodule is malignant if it shows a ground-glass or eccentric appearance.
What would you do if the nodule had malignant features?,We would follow up with a CT scan of your chest.
What are some risk factors for prostate cancer?,"Risk factors for prostate cancer include age, family history, and African American race. Age is the most significant risk factor."
What is the most common cause of cancer in men?,Prostate cancer is the most common.
What are some symptoms of prostate cancer?,"Common symptoms include urinary retention. However, it is commonly asymptomatic."
How can you screen for prostate cancer?,You can conduct a digital rectal exam and look for nodules and irregular enlargement. You can also obtain a prostate specific antigen (PSA) but this is typically not specific and can be elevated in other causes such as benign prostatic hyperplasia.
How do you confirm a diagnosis?,You would have to conduct a biopsy of the prostate.
How can you treat prostate cancer?,"The treatment of prostate cancer depends on a variety of factors such as the patient’s life expectancy, comorbidities, and metastasis. Treatment options include medical management and radiation therapy."
What are common complications of prostate cancer?,Common complications include metastasis to the bones which can cause compression of the spinal cord.
Where does prostate cancer commonly occur?,Prostate cancer most commonly occurs in the posterior portion of the prostate.
What are some common risk factors for breast cancer?,"Risk factors for breast cancer include age, obesity, history of radiation, increased estrogen exposure, and a first degree relative with breast cancer."
What are common symptoms of breast cancer?,"You can be asymptomatic, have a breast lump, and abnormal breast discharge which could be bloody or unilateral."
What are worrisome features about breast cancer?,"Some worrying features include a firm immobile, painless lump; skin changes such as redness, ulcerations, and edema; enlarged lymph nodes in the axilla; and breast skin edema with skin dimpling."
What are some genetic mutations associated with breast cancer?,BRCA1 and BRCA2 mutations are common mutations in breast cancer.
What are some things I can do to decrease my risk of breast cancer?,"Exercise, breastfeeding, and alcohol and smoking cessation can decrease your risk."
What are screening tools for breast cancer?,A mammogram is most commonly used to screen for breast cancer.
When is a mammogram used and how often do I need to get one?,Women between the ages of 50 and 74 should have a mammogram every 1-2 years.
What are some treatment options for breast cancer?,"Treatment depends on the type of cancer and how much it has metastasized. Common treatments include chemotherapy, endocrine therapy, radiation therapy and surgical management."
Which breast cancers have a worse prognosis?,"Triple negative cancers, which are estrogen receptor (ER), progesterone receptor (PR), and HER2 negative have worse prognosis because of limited treatment options."
What are surgical options for breast cancer?,Surgical options depend on the extent and severity of the cancer. Smaller tumors can have a lumpectomy followed by radiation whereas larger tumors may require a mastectomy.
What are some risks of a mastectomy?,"Common risks include nerve injury, specifically to the long thoracic and thoracodorsal nerve."
What is the next step if a mammogram is concerning for cancer?,We would proceed with a core needle biopsy.
Who would normally get an MRI for evaluation of breast cancer?,"High risk women, such as those with a genetic mutation and radiation history, would typically get an MRI."
When would you get an ultrasound of the breast?,We would typically get an ultrasound for patients under the age of 30 with a mass on examination.
What are the most common types of esophageal carcinoma?,The most common types include squamous cell carcinoma and adenocarcinoma.
What are common risk factors associated with squamous cell carcinoma?,Smoking and alcohol use can increase your risk of squamous cell carcinoma of the esophagus.
Where does squamous cell carcinoma commonly occur in the esophagus?,Squamous cell carcinoma is commonly found in the middle of the esophagus.
What are risk factors for esophageal adenocarcinoma?,Risk factors for adenocarcinoma of the esophagus include gastroesophageal reflux disease and Barrett's esophagus.
Where do patients normally get adenocarcinoma of the esophagus?,Adenocarcinoma typically impacts the distal esophagus.
What are common symptoms of esophageal cancer?,Patients with cancer of the esophagus can have difficulty swallowing food and weight loss from decreased eating and the cancer.
What is used to evaluate for and diagnose suspected esophageal cancer?,An upper gastrointestinal endoscopy with biopsy is typically used for diagnosis.
What are treatment options for esophageal cancer?,"You can treat esophageal cancer with chemotherapy, radiation, and surgical resection. The treatment depends on the type and severity of the cancer."
What are common complications of esophageal cancer?,Patients with esophageal cancer can typically develop esophageal obstruction and a connection or fistula between the esophagus and the trachea.
What are risk factors for cancer of the liver?,"Risk factors for liver cancer include alcohol use, hepatitis B and C infection, obesity, type 2 diabetes, and genetic causes such as Wilson’s disease, hereditary hemochromatosis, and ?1 antitrypsin deficiency."
What are common symptoms of liver cancer?,"A patient with liver cancer can develop pain in the right upper portion of their abdomen, weight loss, fluid in their abdomen known as ascites, and yellowing of their skin."
What is commonly used to screen for liver cancer?,"For patients at elevated risk such as heavy alcohol use or hepatitis B/C infection, we conduct abdominal ultrasounds every 3 to 6 months for two years."
How can you treat liver cancer?,"Liver cancer is commonly treated with resection, liver transplant, or liver specific therapies such as radioablation."
What are common imaging studies for liver cancer?,MRI and CT scan can be used as confirmatory studies for liver cancer.
What are the different types of pancreatic cancer?,"Most pancreatic cancers are adenocarcinomas, however a small portion can also be neuroendocrine tumors."
What are common risk factors for pancreatic cancer?,"Smoking, heavy alcohol use, chronic pancreatitis, and obesity are all risk factors for pancreatic cancer."
What are some common symptoms of cancer of the pancreas?,"Symptoms of pancreatic cancer include abdominal pain, depression, yellow skin, and diabetes. Patients also commonly have unexplained weight loss."
What imaging techniques can be used to assess for pancreatic cancer?,"Common imaging modalities include abdominal ultrasound, abdominal CT, and endoscopic retrograde cholangiopancreatography (ERCP)."
What lab markers can be used to evaluate for pancreatic cancer?,"Lipase, CA 19-9, and liver studies can be used for further evaluation but are not diagnostic."
What treatment options are available for pancreatic cancer?,"Unfortunately, there are not many medical treatment options available. Surgical options such as the Whipple procedure are indicated for patients with resectable cancer."
What is the prognosis for pancreatic cancer?,"Unfortunately, pancreatic cancer has a very poor prognosis with an average survival time between 3 and 3.5 years."
What are common risk factors for ovarian cancer?,"Risk factors for ovarian cancer include breast cancer, early menarche, family history, infertility, and polycystic ovarian syndrome."
What are common genetic conditions associated with ovarian cancer?,"From a genetic perspective, Lynch syndrome and a BRCA1 and BRCA 2 can increase a patient’s risk for ovarian cancer."
What are common symptoms of ovarian cancer?,"Patients can be asymptomatic early in the disease. However, as the disease progresses, pelvic or abdominal pain can occur along with bloating and urinary symptoms."
What can be seen on a physical exam for a patient with ovarian cancer?,"On examination, a provider can note an adnexal mass or bloating."
What are common imaging modalities used to look for ovarian cancer?,"A provider can use a pelvic ultrasound, either a transvaginal or transabdominal ultrasound, to assess for an irregularly appearing, large mass."
How are ovarian cancers diagnosed?,"Ovarian cancers are diagnosed using biopsy, which can determine the type of cancer."
What treatment options are available for a patient with ovarian cancer?,Treatment options differ depending on the type of cancer and severity but surgical options include removal of both ovaries and the fallopian tubes.
What are risk factors for cancer of the head and neck?,"Common risk factors for head and neck cancer include tobacco use, HPV infection, alcohol, and radiation exposure."
What are symptoms of head and neck cancer?,"Common symptoms of head and neck cancer include difficulty swallowing, painful swallowing, ear pain, and bleeding."
What can be seen on a physical exam for head and neck cancer?,Patients can present with a neck mass or enlarged lymph nodes.
What imaging options are available for head and neck cancer?,"A provider can use a Computed tomography (CT), Magnetic resonance imaging (MRI), and even Positron emission tomography (PET), which specifically helps in detecting metastasis."
What procedures can be conducted to diagnose and evaluate head and neck cancer?,A laryngoscopy is used to evaluate the primary lesion and a biopsy with an  operative endoscopy can be conducted for diagnosis.
What treatment options are available for head and neck cancer?,Treatments can be nonoperative such as chemotherapy and radiation therapy or operative.
What are common complications of head and neck tumors?,"Cancer in the head and neck can compress the airway or the esophagus, leading to difficulty breathing and swallowing."
What are treatment options for brain cancer?,"Brain tumors can be treated with surgery, radiation therapy and chemotherapy."
What are symptoms associated with a brain tumor?,"A tumor in the brain can cause a seizure, headache, changes in vision or hearing, changes in motor or sensory function, and changes in personality."
What imaging is best to assess brain cancer?,MRI is preferred over a CT scan because it provides more detailed images.
